"","Nama.Produk","Jumlah"
"1","10 COLOURS - SPACEBOY",1
"2","11 PC CERAMIC TEA SET POLKADOT",1
"3","2 DAISIES HAIR COMB",1
"4","3 BIRDS CANVAS SCREEN",1
"5","5 SUMMER BDRAW LINERS,10 COLOUR SPACEBOY PEN,PARTY INVITES JAZZ HEARTS,VINTAGE SNAP CARDS,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK RETROSPOT,WOODEN PICTURE FRAME WHITE FINISH,SET/20 RED SPOTTY PAPER NAPKINS",1
"6","5 SUMMER BDRAW LINERS,ASSORTED TUTTI FRUTTI HEART BOX,SET/10 PINK SPOTTY PARTY CANDLES,12 PENCILS SMALL TUBE RED SPOTTY,PAPER BUNTING RETRO SPOTS,POTTERING IN THE SHED METAL SIGN,CHARLIE+LOLA RED HOT WATER BOTTLE,TOMATO CHARLIE+LOLA COASTER SET,CHARLIE+LOLA RED HOT WATER BOTTLE",1
"7","5 SUMMER BDRAW LINERS,BALLOONS  WRITING SET,SCOTTIE DOG HOT WATER BOTTLE,SET/4 BADGES BALLOON GIRL,SET/4 BADGES DOGS,WOODEN SCHOOL COLOURING SET,STRAWBERRY BATH SPONGE,PAPER CHAIN KIT 50S CHRISTMAS",1
"8","5 SUMMER BDRAW LINERS,CHARLIE+LOLA PINK HOT WATER BOTTLE,PINK MARSHMALLOW SCARF KNITTING KIT,WASH BAG VINTAGE ROSE PAISLEY,CHARLIE + LOLA BISCUITS TINS,T-LIGHT HOLDER WHITE LACE,SCALLOP SHELL SOAP DISH,BALLOONS  WRITING SET,PACK OF 12 HEARTS DESIGN TISSUES,PACK OF 12 BLUE PAISLEY TISSUES,WHITE BITTY LIGHT CHAIN,SET 10 LIGHTS NIGHT OWL,WHITE CHERRY LIGHTS",1
"9","5 SUMMER BDRAW LINERS,CHILDRENS APRON SPACEBOY DESIGN,PINK FAIRY CAKE CHILDRENS APRON,PAPER CHAIN KIT 50S CHRISTMAS",1
"10","5 SUMMER BDRAW LINERS,EDWARDIAN PARASOL BLACK,CHILDS GARDEN FORK BLUE,RETROSPOT RED WASHING UP GLOVES,VINTAGE UNION JACK CUSHION COVER,FROSTED WHITE BASE,CHILDS GARDEN FORK PINK,CHARLIE+LOLA""EXTREMELY BUSY"" SIGN,6 RIBBONS RUSTIC CHARM,ECONOMY HOLIDAY PURSE,NO SINGING METAL SIGN,DISCO BALL CHRISTMAS DECORATION,PAINTED LIGHTBULB STAR+ MOON,KEY FOB , SHED,PLASTERS IN TIN SPACEBOY,AIRLINE BAG VINTAGE JET SET BROWN,BALLOONS  WRITING SET,PACK OF 6 BIRDY GIFT TAGS,PACK OF 60 SPACEBOY CAKE CASES,60 CAKE CASES DOLLY GIRL DESIGN,RETROSPOT HEART HOT WATER BOTTLE,SMALL PINK MAGIC CHRISTMAS TREE,STRAWBERRY LUNCH BOX WITH CUTLERY,SKULL LUNCH BOX WITH CUTLERY,SET 2 TEA TOWELS I LOVE LONDON,RETROSPOT SMALL TUBE MATCHES,PAPER CHAIN KIT LONDON,SUMMER FUN DESIGN SHOWER CAP,ROCKING HORSE RED CHRISTMAS,ROCKING HORSE GREEN CHRISTMAS,KEY FOB , BACK DOOR,POLKADOT RAIN HAT,FUNKY WASHING UP GLOVES ASSORTED,STAR WOODEN CHRISTMAS DECORATION,HEART WOODEN CHRISTMAS DECORATION,SWALLOW WOODEN CHRISTMAS DECORATION,ROCKING HORSE RED CHRISTMAS,HAND WARMER OWL DESIGN,DISCO BALL CHRISTMAS DECORATION,SMALL POPCORN HOLDER,GUMBALL COAT RACK,METAL SIGN NEIGHBOURHOOD WITCH,AIRLINE BAG VINTAGE TOKYO 78,VINTAGE UNION JACK CUSHION COVER,AREA PATROLLED METAL SIGN,PARTY BUNTING,FLOWER FAIRY,5 SUMMER BDRAW LINERS",1
